title,type,genres,releaseYear,imdbId,imdbAverageRating,imdbNumVotes,availableCountries
Ghost,movie,"Drama, Fantasy, Romance",1990,tt0099653,7.1,248614,
"Willy Wonka & the Chocolate Factory",movie,"Adventure, Comedy, Family",1971,tt0067992,7.8,237859,
"King Kong",movie,"Action, Adventure, Romance",2005,tt0360717,7.2,460594,
"Live Flesh",movie,Drama,1997,tt0118819,7.3,34865,
Batman,movie,"Action, Adventure",1989,tt0096895,7.5,420902,
"Batman Begins",movie,"Action, Crime, Drama",2005,tt0372784,8.2,1653063,
"The Shawshank Redemption",movie,Drama,1994,tt0111161,9.3,3060723,
"Terminator 2: Judgment Day",movie,"Action, Adventure, Sci-Fi",1991,tt0103064,8.6,1238366,
"A River Runs Through It",movie,Drama,1992,tt0105265,7.2,68056,
"Meet Joe Black",movie,"Drama, Fantasy, Romance",1998,tt0119643,7.2,285128,
"Ocean's Thirteen",movie,"Crime, Thriller",2007,tt0496806,6.9,378784,
"Swimming Pool",movie,"Crime, Drama, Mystery",2003,tt0324133,6.7,50207,
"Beverly Hills Cop III",movie,"Action, Comedy, Crime",1994,tt0109254,5.5,97828,
"Rome, Open City",movie,"Drama, Thriller, War",1945,tt0038890,8,32266,
"Bruce Almighty",movie,"Comedy, Fantasy",2003,tt0315327,6.8,454567,
"Mystic River",movie,"Crime, Drama, Mystery",2003,tt0327056,7.9,505753,
"Jurassic Park",movie,"Action, Adventure, Sci-Fi",1993,tt0107290,8.2,1124929,
"The Lost World: Jurassic Park",movie,"Action, Adventure, Sci-Fi",1997,tt0119567,6.6,460910,
"Jurassic Park III",movie,"Action, Adventure, Sci-Fi",2001,tt0163025,5.9,354208,
"Once Upon a Time in the West",movie,"Drama, Western",1968,tt0064116,8.5,370109,
"Night on Earth",movie,"Comedy, Drama",1991,tt0102536,7.7,68986,
"Eyes Wide Shut",movie,"Drama, Mystery, Thriller",1999,tt0120663,7.5,401908,
"Batman Returns",movie,"Action, Crime, Fantasy",1992,tt0103776,7.1,340964,
"Das Boot",movie,"Drama, War",1981,tt0082096,8.4,280211,
"Inside Man",movie,"Crime, Drama, Mystery",2006,tt0454848,7.6,414700,
"A Fistful of Dollars",movie,"Drama, Western",1964,tt0058461,7.9,245360,
Chocolat,movie,"Drama, Romance",2000,tt0241303,7.2,207089,
"Basic Instinct",movie,"Drama, Mystery, Thriller",1992,tt0103772,7.1,233336,
"Driving Miss Daisy",movie,"Comedy, Drama",1989,tt0097239,7.3,121472,
"Summer in Berlin",movie,Drama,2005,tt0477877,6.9,3058,
8½,movie,Drama,1963,tt0056801,8,129681,
"The Pianist",movie,"Biography, Drama, Music",2002,tt0253474,8.5,972508,
