Title,Type,Year,Rating,Votes,Genre
Chhota Bheem and the Curse of Damyaan,movie,2012,6.7,545.0,Action
"Chaos, Disorder",movie,2012,6.0,157.0,Drama
Der Bärenhäuter,movie,1986,6.4,90.0,Family
The Stranger Left No Card,movie,1952,7.3,290.0,Crime
The Adventures of Huck Finn,movie,2012,5.8,410.0,Adventure
Dance Hall,movie,1950,6.0,278.0,Drama
Colosio,movie,2012,7.3,1348.0,Thriller
Puella Magi Madoka Magica the Movie Part 1: Beginnings,movie,2012,7.6,1849.0,Animation
Puella Magi Madoka Magica the Movie Part 2: Eternal,movie,2012,7.9,1833.0,Animation
Summits of My Life: A Fine Line,movie,2012,7.2,373.0,Documentary
The Copper Tower,movie,1970,7.4,331.0,Drama
The Romancing Star 3,movie,1989,4.7,163.0,Comedy
The Romancing Star 2,movie,1988,5.6,260.0,Comedy
I Superbiker 2 - The Showdown,movie,2012,5.7,29.0,Sport
Líbás jako dábel,movie,2012,4.7,191.0,Comedy
It's Tough for Everybody,movie,1975,5.4,147.0,Comedy
The Best Offer,movie,2013,7.8,133553.0,Crime
Ouran High School Host Club,movie,2012,6.1,239.0,Comedy
Hotaru the Movie: It's Only a Little Light in My Life,movie,2012,5.7,335.0,Drama
The Stroller Strategy,movie,2012,5.4,963.0,Comedy
Underdogs,movie,2013,6.4,10765.0,Adventure
Mapado,movie,2005,6.0,234.0,Adventure
The Angry Birds Movie,movie,2016,6.3,111426.0,Action
Little Wars,movie,1982,6.2,202.0,Drama
The Devil Inside,movie,1961,6.5,292.0,Crime
Straight A's,movie,2013,5.6,4936.0,Comedy
The Resurrection of a Bastard,movie,2013,6.2,747.0,Drama
The Tower,movie,2012,6.5,7107.0,Action
Andala Rakshasi,movie,2012,6.8,828.0,Romance
"It's a Mad, Mad, Mad World",movie,1987,6.5,424.0,Comedy
"It's a Mad, Mad, Mad World II",movie,1988,6.6,260.0,Comedy
Husbands in Goa,movie,2012,4.0,344.0,Comedy
Till Luck Do Us Part,movie,2012,5.5,2871.0,Comedy
Maid,movie,2004,5.7,132.0,Action
The Magic of Hope,movie,2011,6.1,30.0,Drama
Alfie Darling,movie,1975,4.6,445.0,Comedy
Cage of Gold,movie,1950,6.4,629.0,Crime
Left Right and Centre,movie,1959,6.3,422.0,Comedy
Hoselupf,movie,2011,6.6,54.0,Documentary
Barbara,movie,1997,6.1,644.0,Drama
Srimannarayana,movie,2012,3.5,327.0,Drama
King Thrushbeard,movie,1984,6.9,367.0,Comedy
The Lovers!,movie,1973,6.1,281.0,Comedy
Blueblood,movie,1974,4.5,750.0,Drama
The Kings of Summer,movie,2013,7.1,86192.0,Adventure
Austenland,movie,2013,6.3,24761.0,Comedy
One More Try,movie,2012,6.1,243.0,Drama
Spring and Port Wine,movie,1970,7.0,1078.0,Drama
The Police Commissioner,movie,1962,6.8,322.0,Comedy
ABCD (Any Body Can Dance),movie,2013,6.3,7772.0,Drama
Interstellar,movie,2014,8.7,2357606.0,Adventure
Transcendence,movie,2014,6.2,243410.0,Drama
In a World...,movie,2013,6.6,33498.0,Comedy
Kill Your Darlings,movie,2013,6.4,42520.0,Biography
Oculus,movie,2013,6.5,145531.0,Horror
The Young and Prodigious T.S. Spivet,movie,2013,7.0,20829.0,Adventure
A Most Wanted Man,movie,2014,6.7,82831.0,Crime
The Purge,movie,2013,5.8,252164.0,Horror
Miracle in Cell No. 7,movie,2013,8.1,25258.0,Comedy
What They Don't Talk About When They Talk About Love,movie,2013,7.1,333.0,Drama
"Some Will, Some Won't",movie,1970,5.8,291.0,Comedy
Blackfish,movie,2013,8.1,75082.0,Documentary
Duplicate,movie,1998,5.6,8969.0,Action
In Fear,movie,2013,5.4,10973.0,Horror
Domestic,movie,2012,6.6,600.0,Comedy
Hotel Transylvania 2,movie,2015,6.6,153501.0,Adventure
Ram Jaane,movie,1995,5.4,4635.0,Action
Oh Darling Yeh Hai India,movie,1995,4.0,2039.0,Comedy
English Babu Desi Mem,movie,1996,4.6,2808.0,Comedy
The Golden Ball,movie,1994,6.3,466.0,Comedy
Crayon Shin-chan: Invoke a Storm! The Kasukabe Boys of the Evening Sun,movie,2004,6.8,455.0,Adventure
Miracle,movie,2006,6.0,252.0,Comedy
Doraemon: Nobita and the Island of Miracles ~Animal Adventure~,movie,2012,6.7,783.0,Action
The Berlin File,movie,2013,6.6,7832.0,Action
Between Two Women,movie,2003,6.3,813.0,Drama
Elena,movie,2012,7.5,2123.0,Biography
David,movie,2013,6.2,2912.0,Action
I Wish I Had a Wife,movie,2001,6.3,308.0,Comedy
Inkaar,movie,2013,6.1,2757.0,Drama
Northwest,movie,2013,6.8,4436.0,Action
Doraemon: Nobita's Great Adventure into the Underworld,movie,1984,7.0,515.0,Adventure
Doraemon: Nobita's Little Star Wars,movie,1985,7.2,840.0,Adventure
Doraemon: Nobita and the Animal Planet,movie,1990,6.8,643.0,Adventure
Doraemon: Nobita's Three Visionary Swordsmen,movie,1994,7.3,1071.0,Adventure
Celal and Ceren,movie,2013,3.3,44397.0,Comedy
Doraemon: Nobita and the Tin Labyrinth,movie,1993,7.0,817.0,Action
Son of Cain,movie,2013,6.1,1052.0,Thriller
Head Over Heels 2,movie,2012,5.8,1451.0,Comedy
Doraemon: Nobita's Diary on the Creation of the World,movie,1995,6.7,453.0,Adventure
Doraemon: Nobita Drifts in the Universe,movie,1999,6.6,389.0,Action
Doraemon: Nobita and the Winged Braves,movie,2001,6.9,689.0,Action
Doraemon: Nobita and the Robot Kingdom,movie,2002,6.8,665.0,Adventure
"Doraemon: The Records of Nobita, Spaceblazer",movie,1981,6.7,523.0,Adventure
The Liability,movie,2012,5.9,9556.0,Comedy
Una famiglia perfetta,movie,2012,6.4,1290.0,Comedy
To Bed or Not to Bed,movie,1963,6.2,393.0,Comedy
The Little Soldier,movie,1948,6.8,404.0,Animation
The Little Gangster,movie,1990,6.7,537.0,Drama
Birds of Prey,movie,1968,6.3,784.0,Action
Doraemon: Nobita and the Spiral City,movie,1997,6.5,405.0,Adventure
Ego,movie,2013,6.1,3754.0,Comedy
Two Hours to Kill,movie,1966,5.5,210.0,Crime
Kureyon Shinchan: Arashi o yobu ougon no supai daisakusen,movie,2011,6.1,348.0,Action
Eiga Kureyon Shinchan: Arashi o yobu! Ora to uchuu to purinsesu,movie,2012,6.0,278.0,Action
Crayon Shin-chan: Very Tasty! B-class Gourmet Survival!!,movie,2013,6.6,498.0,Adventure
Sisterakas,movie,2012,5.3,389.0,Comedy
Verliefd op Ibiza,movie,2013,4.8,2867.0,Comedy
To Hell with Hitler,movie,1940,6.4,389.0,Comedy
"Bless Me, Ultima",movie,2012,6.4,1637.0,Biography
Serena,movie,2014,5.4,31408.0,Drama
We Not Naughty,movie,2012,5.6,134.0,Comedy
Some People,movie,1962,6.3,337.0,Drama
One Direction: This Is Us,movie,2013,4.4,25408.0,Documentary
Hor taew tak 3,movie,2011,4.8,107.0,Comedy
St. Peter's Umbrella,movie,1958,7.1,308.0,Comedy
Gumrah,movie,1993,6.1,1081.0,Action
New World,movie,2013,7.5,27846.0,Action
Loser Takes All,movie,1956,5.0,214.0,Comedy
The Priest's Children,movie,2013,6.8,4704.0,Comedy
Scorpion in Love,movie,2013,5.8,1265.0,Drama
Länger leben,movie,2010,6.4,33.0,Comedy
3096 Tage,movie,2013,6.5,17772.0,Biography
A Friend in Need,movie,2010,4.5,15.0,Drama
Curse of Chucky,movie,2013,5.6,46004.0,Horror
Traffic Department,movie,2012,7.3,5286.0,Crime
Long Live Freedom,movie,2013,6.9,4759.0,Comedy
Legs of Gold,movie,1958,5.5,166.0,Comedy
The God of Wood,movie,2010,5.7,166.0,Drama
North of the Sun,movie,2012,7.9,1138.0,Adventure
Reaching for the Moon,movie,2013,7.0,3693.0,Biography
Mystery Junction,movie,1951,5.7,517.0,Crime
Från och med herr Gunnar Papphammar,movie,1981,6.4,477.0,Comedy
Buddies,movie,2012,6.5,1152.0,Adventure
Ah Boys to Men,movie,2012,6.1,622.0,Comedy
Kai Po Che,movie,2013,7.8,39473.0,Drama
Furious 7,movie,2015,7.1,428269.0,Action
Coming Forth by Day,movie,2012,6.4,301.0,Drama
All for Two,movie,2013,5.8,2358.0,Comedy
Julie,movie,2013,4.1,131.0,Drama
Billy and Buddy,movie,2013,4.4,820.0,Comedy
American Hustle,movie,2013,7.2,510490.0,Crime
Company of Heroes,movie,2013,5.0,9153.0,Action
Monica Z,movie,2013,6.8,4463.0,Biography
Will You Still Love Me Tomorrow?,movie,2013,6.7,657.0,Comedy
Just Friends?,movie,2009,6.7,742.0,Drama
Small Town Rivals,movie,2007,5.7,167.0,Comedy
Sound of Heimat - Deutschland singt,movie,2012,7.3,69.0,Documentary
Our Last Weekend,movie,2011,3.0,270.0,Drama
Cycle,movie,2012,4.0,336.0,Animation
Shackled,movie,2012,6.2,283.0,Horror
Short Term 12,movie,2013,7.9,93970.0,Drama
In Defense of a Married Man,movie,1990,5.5,292.0,Crime
The Short Game,movie,2013,7.3,1771.0,Documentary
Flight of the Butterflies,movie,2012,7.2,577.0,Biography
A Walk Among the Tombstones,movie,2014,6.5,130063.0,Action
The Tricyclist,movie,1957,5.3,271.0,Comedy
Take Me High,movie,1973,4.7,317.0,Comedy
Il principe abusivo,movie,2013,5.3,1946.0,Comedy
1939,movie,1989,6.1,1047.0,Biography
Asterix and Obelix: Mansion of the Gods,movie,2014,6.9,16348.0,Adventure
Sonja and the Bull,movie,2012,6.9,2491.0,Comedy
Maya,movie,1993,5.4,2479.0,Drama
The Butterfly's Dream,movie,2013,7.6,25516.0,Biography
Brothers in Law,movie,1957,6.4,488.0,Comedy
Frank,movie,2014,6.9,83670.0,Comedy
Whatcha Wearin'?,movie,2012,6.8,3000.0,Comedy
Panihida,movie,2012,6.3,92.0,Drama
Postmark for Danger,movie,1955,6.4,767.0,Crime
A Luz do Tom,movie,2013,6.6,50.0,Documentary
Drinking Buddies,movie,2013,6.1,61858.0,Comedy
Habibie & Ainun,movie,2012,7.6,2420.0,Biography
An Ethics Lesson,movie,2013,5.6,264.0,Drama
Saheb Biwi Aur Gangster Returns,movie,2013,6.7,4192.0,Action
Mutlu Aile Defteri,movie,2013,6.0,2144.0,Comedy
It Boy,movie,2013,6.3,12750.0,Comedy
Tainá: The Origin,movie,2011,5.3,106.0,Adventure
Something Necessary,movie,2013,7.0,89.0,Drama
Punk in London,movie,1977,6.8,570.0,Documentary
Trouble Brewing,movie,1939,6.3,296.0,Action
The Other Shore: The Diana Nyad Story,movie,2013,7.2,399.0,Adventure
The Shooter,movie,2013,5.6,1887.0,Crime
Amiche da morire,movie,2013,6.2,958.0,Comedy
"Cry, the Beloved Country",movie,1951,7.0,1056.0,Drama
Resident Evil: The Final Chapter,movie,2016,5.5,105150.0,Action
Impossible Is Not French,movie,1974,5.0,215.0,Comedy
A Case of You,movie,2013,5.6,12502.0,Comedy
The English Teacher,movie,2013,5.7,13456.0,Comedy
The Pretty One,movie,2013,6.3,10593.0,Comedy
Jane Got a Gun,movie,2015,5.9,24676.0,Action
Europa Report,movie,2013,6.4,77704.0,Drama
The Kirishima Thing,movie,2012,7.2,2716.0,Drama
Folly to Be Wise,movie,1952,6.1,375.0,Comedy
A Body in the Woods,movie,1996,6.3,138.0,Thriller
Sleepless Nights,movie,2012,7.6,47.0,Documentary
A Madea Christmas,movie,2013,5.1,7528.0,Comedy
Home Run,movie,2013,5.9,3462.0,Drama
Remake,movie,2006,6.3,235.0,Drama
One Piece Film Z,movie,2012,7.7,10709.0,Action
Low Life,movie,2004,6.0,299.0,Action
Panic in the Parlor,movie,1956,6.3,424.0,Comedy
Alan Partridge,movie,2013,6.9,33575.0,Action
Survive and Advance,movie,2013,8.5,1448.0,Biography
In Desert and Wilderness,movie,2001,5.2,1035.0,Adventure
Lucio Flavio,movie,1977,7.4,993.0,Crime
Totally Personal,movie,2005,7.4,132.0,Biography
Tiger & Bunny the Movie: The Beginning,movie,2012,6.5,359.0,Action
En dag skall gry,movie,1944,5.8,92.0,Drama
Underground Rendezvous,movie,2007,6.0,95.0,Comedy
Countdown,movie,2012,6.2,813.0,Horror
Welcome Mr. President,movie,2013,6.2,3778.0,Comedy
The Overture,movie,2004,7.9,1096.0,Biography
Luna verde,movie,2010,5.0,123.0,Drama
The Great Beauty,movie,2013,7.7,102569.0,Drama
Goddess,movie,2013,5.9,1543.0,Comedy
Witching and Bitching,movie,2013,6.4,15895.0,Action
The Flying Scotsman,movie,1929,6.2,251.0,Crime
Terror Ship,movie,1954,5.8,276.0,Crime
El ciclo Dreyer,movie,2006,4.6,80.0,Drama
They Came Together,movie,2014,5.6,25576.0,Comedy
The Raid 2,movie,2014,7.9,136104.0,Action
Here's the Deal,movie,2013,5.5,436.0,Adventure
Les anonymes,movie,2013,6.8,156.0,Crime
Fists of Legend,movie,2013,6.8,1310.0,Action
Himmatwala,movie,2013,1.8,9531.0,Action
Muqaddar Ka Faisla,movie,1987,4.9,100.0,Action
Chashme Baddoor,movie,2013,5.4,5443.0,Comedy
Settai,movie,2013,4.7,643.0,Comedy
T2 Trainspotting,movie,2017,7.1,137613.0,Comedy
Shield of Straw,movie,2013,6.2,2799.0,Action
Vehicle 19,movie,2013,4.9,16253.0,Action
Kevin Hart: Let Me Explain,movie,2013,6.7,9502.0,Comedy
Malesh Ehna Benetbahdel,movie,2005,5.9,511.0,Comedy
Man on the Edge,movie,2013,6.2,351.0,Comedy
Ip Man: The Final Fight,movie,2013,6.1,11712.0,Action
As White as in Snow,movie,2001,6.2,625.0,Biography
"White as Milk, Red as Blood",movie,2013,6.1,1760.0,Comedy
Dark Places,movie,2015,6.2,49097.0,Crime
The Unforgiven,movie,2005,6.8,407.0,Drama
"I, Superbiker: Day of Reckoning",movie,2013,5.9,19.0,Documentary
I'm Not Worthy of You,movie,1965,5.6,112.0,Comedy
Best Before,movie,2013,5.1,773.0,Comedy
The Contact,movie,1997,6.8,554.0,Romance
"The Fun, the Luck & the Tycoon",movie,1990,6.1,342.0,Comedy
Doraemon: Nobita and the Haunts of Evil,movie,1982,6.8,559.0,Adventure
All My Loving,movie,1968,6.2,150.0,Biography
Think Like a Man Too,movie,2014,5.7,23754.0,Comedy
The Letter,movie,2004,7.1,170.0,Drama
Pee Mak,movie,2013,7.2,6999.0,Comedy
Hands of Stone,movie,2016,6.6,18236.0,Biography
A Haunted House 2,movie,2014,4.7,24716.0,Comedy
Deliver Us from Evil,movie,2014,6.2,88909.0,Crime
Saint Young Men: The Movie,movie,2012,6.7,966.0,Animation
Super Salaryman,movie,2012,6.5,149.0,Comedy
It Takes a Man and a Woman,movie,2013,6.8,471.0,Comedy
The Birch-Tree Meadow,movie,2003,6.5,263.0,Drama
My Stolen Revolution,movie,2013,7.0,138.0,Documentary
Yeh Jawaani Hai Deewani,movie,2013,7.3,55338.0,Comedy
The Interrupted Journey,movie,1949,6.7,693.0,Crime
[REC] 4: Apocalypse,movie,2014,5.3,21507.0,Action
Videograms of a Revolution,movie,1992,8.0,720.0,Documentary
Hai-Alarm am Müggelsee,movie,2013,5.9,670.0,Comedy
Love Is Not What It Used to Be,movie,2013,5.0,197.0,Comedy
Stockholm,movie,2013,6.9,5314.0,Drama
"Long Ago, Tomorrow",movie,1971,6.9,714.0,Drama
Swearnet,movie,2014,6.0,3234.0,Comedy
Daily Lives of High School Boys,movie,2013,5.3,185.0,Comedy
Boulevard des assassins,movie,1982,5.6,212.0,Crime
"Love, etc.",movie,1996,6.2,779.0,Comedy
Alma gitana,movie,1996,5.4,128.0,Drama
A Liberal Passion,movie,2013,5.1,679.0,Comedy
22 Jump Street,movie,2014,7.0,424551.0,Action
The Married Couples,movie,1981,8.0,728.0,Comedy
¡Asu Mare!,movie,2013,6.4,911.0,Biography
Shed No Tears,movie,2013,6.9,5822.0,Drama
Blonde Fist,movie,1991,4.6,306.0,Action
A Million Ways to Die in the West,movie,2014,6.1,205719.0,Comedy
Finding Mr. Right,movie,2013,6.5,2892.0,Comedy
The Legend of Hercules,movie,2014,4.3,57162.0,Action
Entourage,movie,2015,6.5,84497.0,Comedy
Doraemon: Nobita's Dorabian Nights,movie,1991,7.3,1270.0,Adventure
León and Olvido,movie,2004,6.3,221.0,Drama
Star Trek Beyond,movie,2016,7.0,265179.0,Action
City Hunter: Bay City Wars,movie,1990,6.9,414.0,Action
City Hunter: Million Dollar Conspiracy,movie,1990,7.0,344.0,Action
My Paparotti,movie,2013,7.1,643.0,Biography
How to Use Guys with Secret Tips,movie,2013,6.4,604.0,Comedy
"Yo, 'El Vaquilla'",movie,1985,5.3,585.0,Action
Frágil,movie,2004,5.7,453.0,Comedy
Gippi,movie,2013,5.6,924.0,Comedy
Edward and Caroline,movie,1951,6.9,788.0,Comedy
Främmande hamn,movie,1948,5.7,107.0,Drama
Theeya Velai Seiyyanum Kumaru,movie,2013,6.2,1716.0,Comedy
Hôtel Normandy,movie,2013,4.7,347.0,Comedy
American Sniper,movie,2014,7.3,552487.0,Action
Carbon Copy,movie,1970,5.6,239.0,Action
Bombay Talkies,movie,2013,6.6,5907.0,Crime
L'homme pressé,movie,1977,6.4,1098.0,Drama
My Sweet Orange Tree,movie,2012,7.2,1620.0,Drama
The Galloping Major,movie,1951,6.2,271.0,Comedy
Sorrow and Joy,movie,2013,7.0,1334.0,Drama
Women in Rock,movie,1980,5.6,193.0,Documentary
Don Juan,movie,1956,5.9,178.0,Adventure
Marta's Suitcase,movie,2013,6.4,27.0,Crime
Delphinsommer,movie,2004,7.0,318.0,Drama
Ghanchakkar,movie,2013,5.9,5423.0,Comedy
Dom Hemingway,movie,2013,6.1,27984.0,Comedy
The Forgotten Kingdom,movie,2013,7.1,337.0,Drama
Osuofia in London,movie,2003,6.6,129.0,Comedy
Doraemon: Nobita in the Wan-Nyan Spacetime Odyssey,movie,2004,7.0,800.0,Action
The Captain of Nakara,movie,2012,7.9,61.0,Comedy
Osuofia in London 2,movie,2004,6.8,27.0,Comedy
Ah Boys to Men II,movie,2013,6.2,332.0,Comedy
"Rita, the American Girl",movie,1965,4.9,165.0,Comedy
I Love Cinema,movie,2004,6.6,1538.0,Comedy
Mowaten we mokhber we haramy,movie,2001,6.1,761.0,Comedy
Awqat faragh,movie,2006,6.9,765.0,Drama
An Educational Film,movie,2000,7.3,1958.0,Comedy
Way Upstream,movie,1987,5.4,202.0,Comedy
The Other Woman,movie,2014,6.0,156975.0,Comedy
It's All Over Town,movie,1964,5.3,86.0,Musical
Boomerang Family,movie,2013,6.5,358.0,Comedy
Lone Survivor,movie,2013,7.5,316380.0,Action
Viva Belarus!,movie,2013,6.5,396.0,Biography
You'll See Me Returning,movie,1966,5.4,59.0,Comedy
Jeans and T-shirt,movie,1983,4.1,169.0,Comedy
The World's Gold,movie,1967,4.9,161.0,Comedy
Blind Detective,movie,2013,6.4,3815.0,Action
Birdman or (The Unexpected Virtue of Ignorance),movie,2014,7.7,683543.0,Comedy
Formentera,movie,2012,5.4,171.0,Drama
Marsal,movie,1999,7.2,2092.0,Comedy
The Sign of the City,movie,2007,6.1,307.0,Drama
Il padre di famiglia,movie,1967,6.7,321.0,Comedy
Neighbors,movie,2014,6.3,338681.0,Comedy
Homerun,movie,2003,6.6,427.0,Drama
A Wedding Invitation,movie,2013,6.0,545.0,Drama
Department Q: The Keeper of Lost Causes,movie,2013,7.2,34843.0,Crime
Easy Money III: Life Deluxe,movie,2013,6.2,6383.0,Crime
Piata pora roku,movie,2012,6.3,226.0,Drama
The Disco,movie,1983,4.2,108.0,Comedy
Les Misérables: The History of the World's Greatest Story,movie,2013,5.9,53.0,Documentary
American Dreams in China,movie,2013,6.9,3015.0,Comedy
Switch,movie,2013,2.2,2040.0,Action
Do You Know This Voice?,movie,1964,6.7,425.0,Crime
Dear Wife,movie,1977,5.6,130.0,Comedy
Marias menn,movie,2006,5.6,169.0,Comedy
Annie,movie,2014,5.4,42312.0,Comedy
"Weekend, Italian Style",movie,1965,6.4,499.0,Comedy
Hattrick,movie,2007,4.3,542.0,Comedy
A Friend of Vincent,movie,1983,6.1,295.0,Comedy
50 to 1,movie,2014,6.3,2384.0,Drama
Strange Voices,movie,1987,6.2,454.0,Drama
The Connection,movie,2014,7.1,12904.0,Action
Miracle,movie,1982,7.9,1047.0,Drama
That Guy from the Stands,movie,1987,4.4,137.0,Comedy
Fröken Chic,movie,1959,5.6,193.0,Comedy
Evidence,movie,2013,5.3,8046.0,Crime
Begin Again,movie,2013,7.4,172337.0,Comedy
Blitzpatrollie,movie,2013,5.2,183.0,Action
A Happy Divorce,movie,1975,5.3,93.0,Drama
Teppanyaki,movie,1984,5.8,234.0,Comedy
Loot,movie,1970,5.4,671.0,Comedy
Between Valleys,movie,2012,6.9,95.0,Drama
Fukrey,movie,2013,6.9,13866.0,Comedy
The Flute and the Arrow,movie,1957,6.6,137.0,Adventure
Dance Dance Dragon,movie,2012,5.4,37.0,Comedy
The Kids from the Port,movie,2013,5.7,90.0,Adventure
Sherina's Adventure,movie,2000,7.8,1129.0,Adventure
The Frozen Ground,movie,2013,6.4,70968.0,Biography
Ee Rojullo,movie,2012,5.5,166.0,Comedy
True Friends,movie,2012,6.0,457.0,Comedy
Secretly Greatly,movie,2013,6.8,5526.0,Action
Al-saher,movie,2001,5.2,540.0,Comedy
Lump of Sugar,movie,2006,6.4,256.0,Drama
Mig äger ingen,movie,2013,6.8,2582.0,Drama
Thammudu,movie,1999,7.9,3698.0,Action
Homeland,movie,2013,6.2,721.0,Comedy
Mekhong Full Moon Party,movie,2002,7.3,354.0,Comedy
Lost and Found,movie,2005,5.4,170.0,Drama
The Mole Song: Undercover Agent Reiji,movie,2013,6.5,1117.0,Action
The Outsider,movie,2018,6.3,30694.0,Crime
Flu,movie,2013,6.6,15352.0,Action
Regina,movie,2012,6.6,7.0,Drama
Draft Day,movie,2014,6.8,70937.0,Drama
Jail Breakers,movie,2002,6.2,454.0,Comedy
"Love, Rosie",movie,2014,7.1,163071.0,Comedy
Behind the Mask,movie,1958,6.1,346.0,Drama
Fonzy,movie,2013,5.3,673.0,Comedy
Plum Blossom,movie,2000,5.9,363.0,Drama
Blackhat,movie,2015,5.5,66149.0,Action
Blue Exorcist: The Movie,movie,2012,7.1,2675.0,Action
Late Bloomers,movie,1996,5.9,628.0,Comedy
Life of a King,movie,2013,6.9,8886.0,Drama
Storia di fifa e di coltello - Er seguito d'er più,movie,1972,5.6,112.0,Comedy
Nightmare in Columbia County,movie,1991,5.7,429.0,Crime
Of Good Report,movie,2013,6.3,373.0,Crime
I Am Happiness on Earth,movie,2014,4.5,1164.0,Drama
Coral Reef 3D: Magic of the Indo Pacific,movie,2013,8.0,12.0,Documentary
5 cm,movie,2012,7.2,2755.0,Adventure
My Mom Is a Character,movie,2013,6.9,6444.0,Comedy
Der Wadenmesser,movie,2005,5.8,41.0,Documentary
The High Command,movie,1937,6.0,212.0,Crime
Quiet Victory: The Charlie Wedemeyer Story,movie,1988,6.8,191.0,Drama
Marighella,movie,2012,4.7,3496.0,Biography
The Man from U.N.C.L.E.,movie,2015,7.2,347939.0,Action
The Bespoke Overcoat,movie,1955,7.1,539.0,Drama
Homefront,movie,2013,6.5,136904.0,Action
Killer Toon,movie,2013,6.2,2374.0,Horror
HK: Forbidden Super Hero,movie,2013,5.8,2861.0,Action
La Once,movie,2014,7.5,610.0,Documentary
Cold Eyes,movie,2013,7.1,8885.0,Action
You Are Always in My Mind,movie,1969,5.4,75.0,Comedy
Belle & Sebastian,movie,2013,6.9,5861.0,Adventure
Grand départ,movie,2013,5.6,175.0,Comedy
Midsummer's Equation,movie,2013,6.6,1281.0,Mystery
Candlelight in Algeria,movie,1943,6.2,531.0,Drama
Anything for Alice,movie,2014,5.4,574.0,Comedy
Hunting Elephants,movie,2013,6.3,1218.0,Comedy
La visa loca,movie,2005,6.6,101.0,Comedy
Before I Go to Sleep,movie,2014,6.3,87178.0,Drama
Four Sisters and a Wedding,movie,2013,7.3,1146.0,Comedy
Amrapali,movie,1966,6.6,306.0,Fantasy
Philomena,movie,2013,7.6,105807.0,Biography
Sharknado,movie,2013,3.3,54877.0,Action
Défense de savoir,movie,1973,5.7,199.0,Crime
Gods of Egypt,movie,2016,5.4,131354.0,Action
The Judge,movie,2014,7.4,214084.0,Crime
The Imitation Game,movie,2014,8.0,855164.0,Biography
In the Heart of the Sea,movie,2015,6.9,155454.0,Action
Papusza,movie,2013,7.4,1454.0,Biography
Boomerang,movie,1976,6.2,790.0,Crime
Man at the Top,movie,1973,5.2,219.0,Drama
The Last Five Years,movie,2014,5.9,11065.0,Comedy
Boundary,movie,2013,7.4,31.0,Documentary
Chinese Puzzle,movie,2013,6.9,15588.0,Comedy
Predestination,movie,2014,7.4,323237.0,Action
I'll Sell My Skin Dearly,movie,1968,5.5,383.0,Western
Lazzarella,movie,1957,5.9,141.0,Comedy
Les galets d'Étretat,movie,1972,4.9,102.0,Drama
Monsieur Robinson Crusoe,movie,1960,3.5,74.0,Comedy
Angeli senza paradiso,movie,1970,5.2,125.0,Drama
The Loves of Joanna Godden,movie,1947,6.7,227.0,Drama
Kingsman: The Secret Service,movie,2014,7.7,754832.0,Action
Chi è senza peccato....,movie,1952,6.0,181.0,Drama
I Spit on Your Grave 2,movie,2013,5.7,34842.0,Horror
Inferno,movie,2016,6.2,196696.0,Action
The Conmen in Vegas,movie,1999,5.5,623.0,Comedy
"Not Now, Comrade",movie,1976,5.0,238.0,Comedy
"Oro, Plata, Mata",movie,1982,7.7,711.0,Drama
A Triumph of the Heart: The Ricky Bell Story,movie,1991,7.2,294.0,Biography
Strawberry Night,movie,2013,6.3,313.0,Crime
Salt & Gold,movie,1983,6.8,500.0,Adventure
Bonnie Prince Charlie,movie,1948,5.2,348.0,Biography
Neapolitan Boy in New York,movie,1984,5.3,90.0,Drama
Save the Children,movie,1973,7.1,146.0,Documentary
All for Love,movie,2005,6.7,337.0,Comedy
Mezzanotte d'amore,movie,1970,5.3,62.0,Musical
Batman v Superman: Dawn of Justice,movie,2016,6.5,772716.0,Action
The Grand Seduction,movie,2013,7.0,20398.0,Comedy
Lucia,movie,1998,7.1,70.0,Drama
Dampfnudelblues,movie,2013,6.9,3116.0,Comedy
The Art of the Steal,movie,2013,6.3,26752.0,Comedy
The Love Punch,movie,2013,5.7,16462.0,Comedy
Felony,movie,2013,6.1,6105.0,Crime
The Divided Heart,movie,1954,6.9,332.0,Drama
Land of Cards,movie,2012,5.5,448.0,Fantasy
A Stoning in Fulham County,movie,1988,5.9,494.0,Crime
Rikidozan: A Hero Extraordinary,movie,2004,6.7,341.0,Biography
Leftenan Adnan,movie,2000,6.8,195.0,Action
Bad Words,movie,2013,6.6,56859.0,Comedy
The Right Kind of Wrong,movie,2013,6.1,10190.0,Comedy
Senario Lagi,movie,2000,7.3,134.0,Adventure
The Terror Live,movie,2013,7.1,8503.0,Action
Cold Comes the Night,movie,2013,5.7,10418.0,Action
Cracked Eggs and Noodles,movie,2005,5.7,118.0,Comedy
Locke,movie,2013,7.1,164831.0,Drama
SDU: Sex Duties Unit,movie,2013,5.8,586.0,Action
Se lo scopre Gargiulo,movie,1988,6.0,101.0,Comedy
Mortdecai,movie,2015,5.5,78695.0,Action
Grean Fictions,movie,2013,6.9,185.0,Comedy
To and from New York,movie,2006,6.1,57.0,Drama
Radio Parade of 1935,movie,1934,5.9,171.0,Comedy
Only a Mother,movie,1949,6.8,234.0,Drama
Lullaby,movie,2010,6.5,26.0,Documentary
Minions,movie,2015,6.4,274111.0,Adventure
"Keep Your Seats, Please!",movie,1936,6.1,292.0,Comedy
Go Go Mania,movie,1965,6.3,480.0,Documentary
Hunter X Hunter: Phantom Rouge,movie,2013,6.5,3635.0,Action
Instructions Not Included,movie,2013,7.5,33685.0,Comedy
